#{"t_start": 1765325655.7412353, "env_id": "Chess-v0"}
r,l,t
-1.0,14,5384.00342
-1.0,18,5391.138642
-1.0,26,5403.198807
-1.0,21,5412.082773
-1.0,15,5418.930831
-1.0,19,5427.294865
-1.0,30,5440.26198
-1.0,14,5446.23811
-1.0,37,5462.727668
-1.0,22,5472.240821
-1.0,24,5482.287262
-1.0,22,5492.040819
-1.0,14,5498.475801
-1.0,23,5509.629782
-1.0,3,5511.246026
-1.0,19,5519.423321
-1.0,2,5520.214822
-1.0,18,5528.35165
-1.0,9,5532.543365
-1.0,25,5543.427086
-1.0,32,5557.185733
-1.0,33,5571.050977
-1.0,14,5577.203939
-1.0,11,5581.869145
-1.0,30,5594.523371
-1.0,12,5600.214701
-1.0,19,5608.399059
-1.0,16,5615.885928
-1.0,12,5621.131587
-1.0,32,5633.996546
-1.0,25,5645.146921
-1.0,20,5654.330687
-1.0,23,5664.23155
-1.0,14,5670.141569
-1.0,23,5680.492749
-1.0,14,5686.827134
-1.0,22,5696.088785
-1.0,24,5706.356188
-1.0,21,5715.643323
-1.0,18,5724.211569
-1.0,31,5737.448298
-1.0,13,5743.626845
-1.0,22,5753.394352
-1.0,23,5763.908709
-1.0,34,5776.737786
-1.0,22,5786.191369
-1.0,21,5794.978539
-1.0,23,5805.421987
-1.0,24,5817.038994
-1.0,35,5832.273931
-1.0,20,5841.803992
-1.0,5,5844.332681
-1.0,41,5861.889661
-1.0,24,5872.097513
-1.0,21,5881.195999
-1.0,32,5894.990723
-1.0,26,5906.763875
-1.0,5,5909.016257
-1.0,29,5920.743695
-1.0,25,5931.806979
-1.0,21,5940.422835
-1.0,21,5949.562701
-1.0,12,5955.981309
-1.0,21,5964.43591
-1.0,18,5972.02578
-1.0,17,5979.855914
-1.0,10,5984.594286
-1.0,31,5999.453004
-1.0,19,6008.003712
-1.0,5,6010.320598
-1.0,6,6013.05817
-1.0,20,6022.299517
-1.0,25,6033.220445
-1.0,21,6042.339616
-1.0,5,6044.875184
-1.0,16,6052.455038
-1.0,18,6060.420198
-1.0,19,6068.574667
-1.0,32,6081.937895
-1.0,47,6102.272866
-1.0,19,6110.983371
-1.0,28,6122.808129
-1.0,12,6128.053092
-1.0,23,6139.195658
-1.0,13,6145.032986
-1.0,10,6150.187961
-1.0,34,6165.429155
-1.0,25,6176.207447
-1.0,20,6184.68588
-1.0,32,6199.508865
-1.0,22,6210.799574
-1.0,7,6214.1067
-1.0,21,6223.951039
-1.0,14,6230.398866
-1.0,4,6232.236312
-1.0,13,6237.829857
-1.0,10,6242.208278
-1.0,18,6250.031261
-1.0,31,6262.821591
